date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
09:57:52	29040/29040	---M-Z	200	added ('OK')	application/javascript	date:Mon,%2021%20Feb%202022%2009:17:25%20GMT	https://mobilekit.bragherstudio.com/view29/assets/js/plugins/splide/splide.min.js	C:/My%20Web%20Sites/mobile-app/mobilekit.bragherstudio.com/view29/assets/js/plugins/splide/splide.min.js	(from https://mobilekit.bragherstudio.com/view29/index.html)
09:57:52	29989/29989	---M-Z	200	added ('OK')	application/javascript	date:Mon,%2021%20Feb%202022%2009:17:25%20GMT	https://mobilekit.bragherstudio.com/view29/assets/js/plugins/progressbar-js/progressbar.min.js	C:/My%20Web%20Sites/mobile-app/mobilekit.bragherstudio.com/view29/assets/js/plugins/progressbar-js/progressbar.min.js	(from https://mobilekit.bragherstudio.com/view29/index.html)
09:57:53	163826/163826	---M-Z	200	added ('OK')	text/css	date:Mon,%2021%20Feb%202022%2009:17:24%20GMT	https://mobilekit.bragherstudio.com/view29/assets/css/inc/bootstrap/bootstrap.min.css	C:/My%20Web%20Sites/mobile-app/mobilekit.bragherstudio.com/view29/assets/css/inc/bootstrap/bootstrap.min.css	(from https://mobilekit.bragherstudio.com/view29/assets/css/style.css)
09:57:53	162633/162633	---M-Z	200	added ('OK')	application/javascript	date:Mon,%2021%20Feb%202022%2009:24:58%20GMT	https://mobilekit.bragherstudio.com/view29/assets/js/base.js	C:/My%20Web%20Sites/mobile-app/mobilekit.bragherstudio.com/view29/assets/js/base.js	(from https://mobilekit.bragherstudio.com/view29/index.html)
09:57:54	4140/4140	---M-Z	200	added ('OK')	text/css	date:Mon,%2021%20Feb%202022%2009:17:24%20GMT	https://mobilekit.bragherstudio.com/view29/assets/css/inc/splide/splide.min.css	C:/My%20Web%20Sites/mobile-app/mobilekit.bragherstudio.com/view29/assets/css/inc/splide/splide.min.css	(from https://mobilekit.bragherstudio.com/view29/assets/css/style.css)
09:57:54	80510/80510	---MCZ	200	added ('OK')	text/css	etag:W/%2213a7e-T26mnA4DQx/6Ggl6RUU7WzskbYs%22	https://cdn.jsdelivr.net/npm/bootstrap-icons@1.8.1/font/bootstrap-icons.css	C:/My%20Web%20Sites/mobile-app/cdn.jsdelivr.net/npm/bootstrap-icons@1.8.1/font/bootstrap-icons.css	(from https://mobilekit.bragherstudio.com/view29/assets/css/style.css)
09:57:55	33438/33438	---M-Z	200	added ('OK')	text/html	date:Mon,%2021%20Feb%202022%2009:17:04%20GMT	https://mobilekit.bragherstudio.com/view29/component-appbottommenu.html	C:/My%20Web%20Sites/mobile-app/mobilekit.bragherstudio.com/view29/component-appbottommenu.html	(from https://mobilekit.bragherstudio.com/view29/app-components.html)
09:57:55	21217/21217	---M-Z	200	added ('OK')	text/html	date:Mon,%2021%20Feb%202022%2009:17:04%20GMT	https://mobilekit.bragherstudio.com/view29/component-appheader.html	C:/My%20Web%20Sites/mobile-app/mobilekit.bragherstudio.com/view29/component-appheader.html	(from https://mobilekit.bragherstudio.com/view29/app-components.html)
09:57:55	15994/15994	---M-Z	200	added ('OK')	text/html	date:Mon,%2021%20Feb%202022%2009:17:04%20GMT	https://mobilekit.bragherstudio.com/view29/component-animated-header.html	C:/My%20Web%20Sites/mobile-app/mobilekit.bragherstudio.com/view29/component-animated-header.html	(from https://mobilekit.bragherstudio.com/view29/app-components.html)
09:57:56	18071/18071	---M-Z	200	added ('OK')	text/html	date:Mon,%2021%20Feb%202022%2009:17:04%20GMT	https://mobilekit.bragherstudio.com/view29/component-appheader-tab.html	C:/My%20Web%20Sites/mobile-app/mobilekit.bragherstudio.com/view29/component-appheader-tab.html	(from https://mobilekit.bragherstudio.com/view29/app-components.html)
